timestamp,hour_of_day,day_of_week,active_users,requests_per_minute,db_connections,avg_response_ms,requests_lag_1h,requests_lag_24h,requests_lag_168h,requests_rolling_mean_24h,requests_rolling_std_24h
2026-04-30 04:00:00,4,3,348.0,870.1,55.0,155.8,763.4,669.1,612.7,975.475,249.15402822873915
2026-04-30 05:00:00,5,3,340.0,720.8,69.0,144.2,870.1,912.2,800.2,967.5,254.27792053098895
2026-04-30 06:00:00,6,3,358.0,967.1,78.0,145.6,720.8,973.9,753.8,967.2166666666667,254.27426764893949
2026-04-30 07:00:00,7,3,294.0,666.3,50.0,115.2,967.1,755.2,825.4,963.5124999999999,258.11564195058764
2026-04-30 08:00:00,8,3,337.0,771.3,59.0,127.0,666.3,658.6,738.1,968.2083333333334,253.30764405408416
2026-04-30 09:00:00,9,3,301.0,649.8,61.0,145.2,771.3,649.5,757.6,968.2208333333333,253.2912397928436
2026-04-30 10:00:00,10,3,346.0,908.5,68.0,126.5,649.8,866.7,790.3,969.9625000000001,252.705852055393
2026-04-30 11:00:00,11,3,378.0,855.4,69.0,132.3,908.5,828.4,776.6,971.0875,252.10763283289813
2026-04-30 12:00:00,12,3,385.0,866.6,75.0,162.7,855.4,911.6,766.8,969.2125000000001,252.73585164459837
2026-04-30 13:00:00,13,3,386.0,918.9,65.0,153.0,866.6,906.8,757.8,969.7166666666666,252.61797703021705
2026-04-30 14:00:00,14,3,432.0,986.8,93.0,161.5,918.9,940.0,931.9,971.6666666666666,252.55923741925534
2026-04-30 15:00:00,15,3,478.0,1122.2,65.0,175.9,986.8,960.3,827.4,978.4124999999999,254.39790864689056
2026-04-30 16:00:00,16,3,508.0,1206.6,82.0,182.6,1122.2,859.0,1101.9,992.8958333333334,257.18345588680967
2026-04-30 17:00:00,17,3,550.0,1192.2,100.0,199.5,1206.6,1283.0,1045.0,989.1125000000001,253.36987795384513
2026-04-30 18:00:00,18,3,586.0,1328.1,113.0,215.4,1192.2,1288.4,1437.3,990.7666666666668,255.52917244614758
2026-04-30 19:00:00,19,3,562.0,1402.9,106.0,181.6,1328.1,1331.3,1424.0,993.75,260.0556763129911
2026-04-30 20:00:00,20,3,601.0,1230.9,106.0,210.7,1402.9,1309.5,1317.5,990.4749999999999,256.3752858095171
2026-04-30 21:00:00,21,3,581.0,1185.8,125.0,207.1,1230.9,1287.7,1432.0,986.2291666666666,252.0461577450776
2026-04-30 22:00:00,22,3,524.0,1285.1,77.0,185.0,1185.8,1428.0,1084.9,980.2750000000001,242.6698029439761
2026-04-30 23:00:00,23,3,512.0,1338.1,89.0,188.9,1285.1,1374.0,1285.7,978.7791666666667,240.2357736441524
