timestamp,hour_of_day,day_of_week,active_users,requests_per_minute,db_connections,avg_response_ms,requests_lag_1h,requests_lag_24h,requests_lag_168h,requests_rolling_mean_24h,requests_rolling_std_24h
2026-01-01 00:00:00,0,3,215.0,465.4,40.0,134.8,,,,465.4,0.0
2026-01-01 01:00:00,1,3,191.0,494.3,30.0,105.6,465.4,,,479.85,20.43538597629123
2026-01-01 02:00:00,2,3,188.0,431.4,41.0,137.7,494.3,,,463.7,31.484440601668645
2026-01-01 03:00:00,3,3,211.0,500.2,38.0,128.8,431.4,,,472.825,31.52632497876445
2026-01-01 04:00:00,4,3,241.0,583.3,47.0,127.4,500.2,,,494.91999999999996,56.448002621882026
2026-01-01 05:00:00,5,3,219.0,498.9,37.0,119.9,583.3,,,495.5833333333333,50.514766817898575
2026-01-01 06:00:00,6,3,252.0,555.2,41.0,125.6,498.9,,,504.09999999999997,51.324328214470256
2026-01-01 07:00:00,7,3,216.0,441.7,41.0,139.7,555.2,,,496.3,52.3888755912387
2026-01-01 08:00:00,8,3,200.0,433.7,35.0,139.8,441.7,,,489.3444444444445,53.26291184095907
2026-01-01 09:00:00,9,3,205.0,460.0,37.0,132.9,433.7,,,486.41,51.06693755367665
2026-01-01 10:00:00,10,3,221.0,522.7,36.0,139.6,460.0,,,489.70909090909095,49.666617653016296
2026-01-01 11:00:00,11,3,217.0,513.8,34.0,103.3,522.7,,,491.7166666666667,47.863192032240725
2026-01-01 12:00:00,12,3,222.0,484.7,49.0,110.6,513.8,,,491.1769230769231,45.86682086661617
2026-01-01 13:00:00,13,3,236.0,503.3,45.0,127.4,484.7,,,492.04285714285714,44.18636605396449
2026-01-01 14:00:00,14,3,232.0,515.1,34.0,135.6,503.3,,,493.58,42.99322537995293
2026-01-01 15:00:00,15,3,286.0,633.7,46.0,143.4,515.1,,,502.3375,54.33498412625149
2026-01-01 16:00:00,16,3,310.0,705.2,56.0,152.4,633.7,,,514.2705882352941,72.03157957370057
2026-01-01 17:00:00,17,3,326.0,664.6,61.0,164.9,705.2,,,522.6222222222223,78.35072397695137
2026-01-01 18:00:00,18,3,342.0,826.7,52.0,139.6,664.6,,,538.6263157894737,103.26799462297258
2026-01-01 19:00:00,19,3,418.0,890.3,79.0,156.4,826.7,,,556.21,127.61943384428893
2026-01-01 20:00:00,20,3,373.0,847.2,67.0,182.7,890.3,,,570.0666666666666,139.65863859186558
2026-01-01 21:00:00,21,3,398.0,1100.7,73.0,170.3,847.2,,,594.1863636363637,177.12838038701798
2026-01-01 22:00:00,22,3,318.0,681.8,53.0,147.8,1100.7,,,597.9956521739131,174.01751865378085
2026-01-01 23:00:00,23,3,341.0,721.8,59.0,147.4,681.8,,,603.1541666666667,172.05850870173978
2026-01-02 00:00:00,0,4,208.0,470.2,42.0,107.9,721.8,465.4,,603.3541666666666,171.8941331906424
2026-01-02 01:00:00,1,4,196.0,449.4,28.0,134.4,470.2,494.3,,601.4833333333332,173.37064007662804
2026-01-02 02:00:00,2,4,185.0,410.4,30.0,97.8,449.4,431.4,,600.6083333333333,174.3167828899485
2026-01-02 03:00:00,3,4,223.0,496.9,43.0,116.1,410.4,500.2,,600.4708333333334,174.4007092106807
2026-01-02 04:00:00,4,4,193.0,401.8,36.0,112.1,496.9,583.3,,592.9083333333333,179.0508354257714
2026-01-02 05:00:00,5,4,226.0,415.5,33.5,132.35,401.8,498.9,,589.4333333333333,181.74372464895555
2026-01-02 06:00:00,6,4,190.0,429.2,31.0,152.6,415.5,555.2,,584.1833333333333,184.57345342747678
2026-01-02 07:00:00,7,4,218.0,518.5,34.0,102.3,429.2,441.7,,587.3833333333333,182.65152296266163
2026-01-02 08:00:00,8,4,222.0,562.7,36.0,121.4,518.5,433.7,,592.7583333333333,179.80830835537938
2026-01-02 09:00:00,9,4,194.0,406.8,41.0,115.5,562.7,460.0,,590.5416666666666,181.83263187473463
2026-01-02 10:00:00,10,4,207.0,493.6,40.0,139.7,406.8,522.7,,589.3291666666668,182.40081874140873
2026-01-02 11:00:00,11,4,219.0,490.9,39.0,129.8,493.6,513.8,,588.375,182.87238898251948
2026-01-02 12:00:00,12,4,256.0,614.4,48.0,121.1,490.9,484.7,,593.7791666666667,181.58732712716602
2026-01-02 13:00:00,13,4,236.0,582.5,43.0,123.8,614.4,503.3,,597.0791666666667,180.58845834169992
2026-01-02 14:00:00,14,4,234.0,516.2,38.0,113.3,582.5,515.1,,597.125,180.56688571659896
2026-01-02 15:00:00,15,4,265.0,620.5,47.0,133.5,516.2,633.7,,596.575,180.47071363038623
2026-01-02 16:00:00,16,4,352.0,705.7,63.0,144.4,620.5,705.2,,596.5958333333333,180.48382675745353
2026-01-02 17:00:00,17,4,379.0,874.8,55.0,148.0,705.7,664.6,,605.3541666666666,188.8343487987074
2026-01-02 18:00:00,18,4,332.0,713.9,64.0,133.3,874.8,826.7,,600.6541666666667,184.43822102045013
2026-01-02 19:00:00,19,4,372.0,788.8,73.0,159.3,713.9,890.3,,596.425,178.57849388507248
2026-01-02 20:00:00,20,4,342.0,836.3,62.0,141.8,788.8,847.2,,595.9708333333334,177.92565247307937
2026-01-02 21:00:00,21,4,386.0,862.4,63.0,174.5,836.3,1100.7,,586.0416666666666,153.50828023741678
2026-01-02 22:00:00,22,4,386.0,880.2,69.0,137.1,862.4,681.8,,594.3083333333333,163.88086583980999
2026-01-02 23:00:00,23,4,358.0,796.4,64.0,131.2,880.2,721.8,,597.4166666666666,167.08037812269637
2026-01-03 00:00:00,0,5,129.0,287.5,18.0,106.0,796.4,470.2,,589.8041666666667,176.9964467321226
2026-01-03 01:00:00,1,5,159.0,424.0,31.0,118.4,287.5,449.4,,588.7458333333334,177.94587349789134
2026-01-03 02:00:00,2,5,138.0,326.2,21.0,120.5,424.0,410.4,,585.2375,182.38952060976771
2026-01-03 03:00:00,3,5,162.0,365.5,35.0,96.0,326.2,496.9,,579.7624999999999,187.0687151417431
2026-01-03 04:00:00,4,5,144.0,327.1,23.0,112.2,365.5,401.8,,576.65,190.7437821654552
2026-01-03 05:00:00,5,5,132.0,315.8,21.0,126.5,327.1,415.5,,572.4958333333333,195.434033080812
2026-01-03 06:00:00,6,5,175.0,399.1,29.0,116.1,315.8,429.2,,571.2416666666667,196.48733539598555
2026-01-03 07:00:00,7,5,135.0,325.7,22.0,101.3,399.1,518.5,,563.2083333333334,202.5841186888241
2026-01-03 08:00:00,8,5,170.0,405.9,36.0,140.2,325.7,562.7,,556.6750000000001,205.11382894892046
2026-01-03 09:00:00,9,5,175.0,408.7,30.0,122.1,405.9,406.8,,556.7541666666667,205.05382533918242
2026-01-03 10:00:00,10,5,157.0,386.3,23.0,102.6,408.7,493.6,,552.2833333333333,207.64404045440827
2026-01-03 11:00:00,11,5,126.0,286.2,24.0,93.3,386.3,490.9,,543.7541666666667,214.37022014783662
2026-01-03 12:00:00,12,5,159.0,323.0,27.0,126.1,286.2,614.4,,531.6125000000001,218.40917784605887
2026-01-03 13:00:00,13,5,188.0,412.8,31.0,98.6,323.0,582.5,,524.5416666666666,219.43465287884237
2026-01-03 14:00:00,14,5,192.0,398.9,28.0,129.1,412.8,516.2,,519.6541666666666,220.92975271352213
2026-01-03 15:00:00,15,5,207.0,505.3,38.0,110.9,398.9,620.5,,514.8541666666666,219.89248159076521
2026-01-03 16:00:00,16,5,253.0,548.9,41.0,143.2,505.3,705.7,,508.3208333333334,216.27526136277427
